Tutor Name, Course Name, Timeslot
Tutor 404,Calculus & its Applications ,20
Tutor 404,Calculus & its Applications ,21
Tutor 404,Calculus & its Applications ,22
Tutor 404,Galois Theory,28
Tutor 404,Galois Theory,29
Tutor 404,Risk and Logistics,83
Tutor 404,Risk and Logistics,84
Tutor 404,Statistics (Year 2),81
Tutor 404,Statistics (Year 2),82
Tutor 404,Time Series,47
Tutor 404,Time Series,48
Tutor 404,Time Series,49
Tutor 404,Time Series,50
Tutor 84,Credit Scoring,13
Tutor 84,Credit Scoring,14
Tutor 84,Credit Scoring,15
Tutor 84,Credit Scoring,16
Tutor 84,Numerical Probability and Monte Carlo ,32
Tutor 84,Numerical Probability and Monte Carlo ,33
Tutor 84,Numerical Probability and Monte Carlo ,34
Tutor 84,Numerical Probability and Monte Carlo ,35
Tutor 84,Stochastic Control and Dynamic Asset Allocation,36
Tutor 84,Stochastic Control and Dynamic Asset Allocation,37
Tutor 84,Topics in Mathematical Physics B,68
Tutor 84,Topics in Mathematical Physics B,69
Tutor 84,Uncertainty Quantification,72
Tutor 84,Uncertainty Quantification,73
Tutor 336,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 336,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 336,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 336,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 336,Engineering Mathematics/Mathematics for the Natural Sciences 1b,43
Tutor 336,Engineering Mathematics/Mathematics for the Natural Sciences 1b,44
Tutor 336,Honours Complex Variables - Skills,30
Tutor 336,Honours Complex Variables - Skills,31
Tutor 336,Honours Complex Variables - Skills,32
Tutor 336,Honours Complex Variables - Skills,33
Tutor 336,Linear Programming Modelling and Solution Computer Lab,60
Tutor 336,Linear Programming Modelling and Solution Computer Lab,61
Tutor 336,Linear Programming Modelling and Solution Computer Lab,62
Tutor 336,Linear Programming Modelling and Solution Computer Lab,63
Tutor 398,Bayesian Data Analysis,85
Tutor 398,Bayesian Data Analysis,86
Tutor 398,Bayesian Data Analysis,87
Tutor 398,Bayesian Data Analysis,88
Tutor 398,Bayesian Data Analysis,89
Tutor 398,Bayesian Data Analysis,90
Tutor 398,Bayesian Data Analysis,91
Tutor 398,Bayesian Data Analysis,92
Tutor 398,Numerical Partial Differential Equations - Comp Labs,5
Tutor 398,Numerical Partial Differential Equations - Comp Labs,6
Tutor 398,Statistics (Year 2),70
Tutor 398,Statistics (Year 2),71
Tutor 398,Statistics (Year 2),72
Tutor 398,Statistics (Year 2),73
Tutor 417,Credit Scoring,13
Tutor 417,Credit Scoring,14
Tutor 417,Fundamentals of Pure Mathematics,62
Tutor 417,Fundamentals of Pure Mathematics,63
Tutor 417,Fundamentals of Pure Mathematics,64
Tutor 417,Fundamentals of Pure Mathematics,65
Tutor 417,Honours Complex Variables,7
Tutor 417,Honours Complex Variables,8
Tutor 417,Honours Complex Variables,9
Tutor 417,Honours Complex Variables,10
Tutor 417,Statistical Computing,39
Tutor 417,Statistical Computing,40
Tutor 417,Statistical Computing,41
Tutor 417,Statistical Computing,42
Tutor 234,Fundamentals of Pure Mathematics,64
Tutor 234,Fundamentals of Pure Mathematics,65
Tutor 234,Honours Algbra- Skills,87
Tutor 234,Honours Algbra- Skills,88
Tutor 234,Honours Algbra- Skills,89
Tutor 234,Honours Algbra- Skills,90
Tutor 234,Honours Algebra,66
Tutor 234,Honours Algebra,67
Tutor 234,Linear Programming Modelling and Solution,62
Tutor 234,Linear Programming Modelling and Solution,63
Tutor 234,Proofs & Problem Solving,4
Tutor 234,Proofs & Problem Solving,5
Tutor 234,Proofs & Problem Solving,6
Tutor 156,Computing and Numerics,77
Tutor 156,Computing and Numerics,78
Tutor 156,Computing and Numerics,79
Tutor 156,Computing and Numerics,80
Tutor 156,Credit Scoring,15
Tutor 156,Credit Scoring,16
Tutor 156,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 156,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 156,Linear Programming Modelling and Solution Computer Lab,60
Tutor 156,Linear Programming Modelling and Solution Computer Lab,61
Tutor 156,Linear Programming Modelling and Solution Computer Lab,62
Tutor 156,Linear Programming Modelling and Solution Computer Lab,63
Tutor 156,Proofs & Problem Solving,11
Tutor 156,Proofs & Problem Solving,12
Tutor 156,Proofs & Problem Solving,13
Tutor 231,Calculus & its Applications ,20
Tutor 231,Calculus & its Applications ,21
Tutor 231,Calculus & its Applications ,22
Tutor 231,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 231,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 231,Engineering Mathematics/Mathematics for the Natural Sciences 1b,43
Tutor 231,Engineering Mathematics/Mathematics for the Natural Sciences 1b,44
Tutor 231,Fundamentals of Pure Mathematics,64
Tutor 231,Fundamentals of Pure Mathematics,65
Tutor 231,Honours Algebra,72
Tutor 231,Honours Algebra,73
Tutor 231,Numerical Partial Differential Equations,39
Tutor 231,Numerical Partial Differential Equations,40
Tutor 129,Calculus & its Applications ,23
Tutor 129,Calculus & its Applications ,24
Tutor 129,Calculus & its Applications ,25
Tutor 129,Numerical Probability and Monte Carlo ,32
Tutor 129,Numerical Probability and Monte Carlo ,33
Tutor 129,Numerical Probability and Monte Carlo ,34
Tutor 129,Numerical Probability and Monte Carlo ,35
Tutor 129,Proofs & Problem Solving,1
Tutor 129,Proofs & Problem Solving,2
Tutor 129,Proofs & Problem Solving,3
Tutor 129,Proofs & Problem Solving,4
Tutor 129,Proofs & Problem Solving,5
Tutor 129,Proofs & Problem Solving,6
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,45
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,46
Tutor 129,Incomplete Data Analysis,74
Tutor 129,Incomplete Data Analysis,75
Tutor 129,Statistics (Year 2),70
Tutor 129,Statistics (Year 2),71
Tutor 129,Statistics (Year 2),81
Tutor 129,Statistics (Year 2),82
Tutor 129,Topics in Applied Operational Research,49
Tutor 129,Topics in Applied Operational Research,50
Tutor 129,Topics in Applied Operational Research,51
Tutor 129,Topics in Applied Operational Research,52
Tutor 259,Calculus & its Applications ,29
Tutor 259,Calculus & its Applications ,30
Tutor 259,Calculus & its Applications ,31
Tutor 259,Calculus & its Applications ,32
Tutor 259,Calculus & its Applications ,33
Tutor 259,Calculus & its Applications ,34
Tutor 259,Mathematical Education,49
Tutor 259,Mathematical Education,50
Tutor 259,Mathematical Education,51
Tutor 259,Mathematical Education,52
Tutor 259,Multivariate Data Analysis,89
Tutor 259,Multivariate Data Analysis,90
Tutor 259,Statistical Research Skills,62
Tutor 259,Statistical Research Skills,63
Tutor 383,Calculus & its Applications ,26
Tutor 383,Calculus & its Applications ,27
Tutor 383,Calculus & its Applications ,28
Tutor 383,Honours Algbra- Skills,30
Tutor 383,Honours Algbra- Skills,31
Tutor 383,Honours Algbra- Skills,32
Tutor 383,Honours Algbra- Skills,33
Tutor 383,Honours Algbra- Skills,87
Tutor 383,Honours Algbra- Skills,88
Tutor 383,Honours Algbra- Skills,89
Tutor 383,Honours Algbra- Skills,90
Tutor 383,Introduction to Number Theory,72
Tutor 383,Introduction to Number Theory,73
Tutor 379,Computing and Numerics,85
Tutor 379,Computing and Numerics,86
Tutor 379,Computing and Numerics,87
Tutor 379,Computing and Numerics,88
Tutor 379,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 379,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 379,Operational Research in the Energy Industry ,64
Tutor 379,Operational Research in the Energy Industry ,65
Tutor 379,Proofs & Problem Solving,1
Tutor 379,Proofs & Problem Solving,2
Tutor 379,Proofs & Problem Solving,3
Tutor 379,Statistical Research Skills,62
Tutor 379,Statistical Research Skills,63
Tutor 288,Calculus & its Applications ,20
Tutor 288,Calculus & its Applications ,21
Tutor 288,Calculus & its Applications ,22
Tutor 288,Calculus & its Applications ,23
Tutor 288,Calculus & its Applications ,24
Tutor 288,Calculus & its Applications ,25
Tutor 288,Classical Mechanics for Mathematicians,62
Tutor 288,Classical Mechanics for Mathematicians,63
Tutor 288,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 288,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 288,Engineering Mathematics/Mathematics for the Natural Sciences 1b,43
Tutor 288,Engineering Mathematics/Mathematics for the Natural Sciences 1b,44
Tutor 288,Fourier Analysis,41
Tutor 288,Fourier Analysis,42
Tutor 131,Calculus & its Applications ,20
Tutor 131,Calculus & its Applications ,21
Tutor 131,Calculus & its Applications ,22
Tutor 131,Calculus & its Applications ,23
Tutor 131,Calculus & its Applications ,24
Tutor 131,Calculus & its Applications ,25
Tutor 131,Engineering Mathematics/Mathematics for the Natural Sciences 1b,45
Tutor 131,Engineering Mathematics/Mathematics for the Natural Sciences 1b,46
Tutor 131,Integer and Combinatorial Optimization,47
Tutor 131,Integer and Combinatorial Optimization,48
Tutor 131,Linear Programming Modelling and Solution Computer Lab,60
Tutor 131,Linear Programming Modelling and Solution Computer Lab,61
Tutor 131,Linear Programming Modelling and Solution Computer Lab,62
Tutor 131,Linear Programming Modelling and Solution Computer Lab,63
Tutor 313,Calculus & its Applications ,23
Tutor 313,Calculus & its Applications ,24
Tutor 313,Calculus & its Applications ,25
Tutor 313,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 313,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 313,Honours Complex Variables - Skills,43
Tutor 313,Honours Complex Variables - Skills,44
Tutor 313,Honours Complex Variables - Skills,45
Tutor 313,Honours Complex Variables - Skills,46
Tutor 313,Incomplete Data Analysis,74
Tutor 313,Incomplete Data Analysis,75
Tutor 313,Linear Programming Modelling and Solution Computer Lab,60
Tutor 313,Linear Programming Modelling and Solution Computer Lab,61
Tutor 313,Linear Programming Modelling and Solution Computer Lab,62
Tutor 313,Linear Programming Modelling and Solution Computer Lab,63
Tutor 136,Calculus & its Applications ,32
Tutor 136,Calculus & its Applications ,33
Tutor 136,Calculus & its Applications ,34
Tutor 136,Honours Complex Variables - Skills,43
Tutor 136,Honours Complex Variables - Skills,44
Tutor 136,Honours Complex Variables - Skills,45
Tutor 136,Honours Complex Variables - Skills,46
Tutor 136,Numerical Ordinary Differential Equations and Applications,15
Tutor 136,Numerical Ordinary Differential Equations and Applications,16
Tutor 136,Numerical Ordinary Differential Equations and Applications,17
Tutor 136,Numerical Ordinary Differential Equations and Applications,18
Tutor 136,Statistical Computing,39
Tutor 136,Statistical Computing,40
Tutor 136,Statistical Computing,41
Tutor 136,Statistical Computing,42
Tutor 246,Honours Algebra,72
Tutor 246,Honours Algebra,73
Tutor 246,Honours Complex Variables,7
Tutor 246,Honours Complex Variables,8
Tutor 246,Honours Complex Variables,9
Tutor 246,Honours Complex Variables,10
Tutor 246,Interactions in Algebra Geometry and Topology,68
Tutor 246,Interactions in Algebra Geometry and Topology,69
Tutor 246,Machine Learning in Python,34
Tutor 246,Machine Learning in Python,35
Tutor 246,Proofs & Problem Solving,14
Tutor 246,Proofs & Problem Solving,15
Tutor 246,Proofs & Problem Solving,16
